,Precio,Título,Combustible,Año,kilometraje,Cambio,Potencia,B
62,34500,RENAULT Austral Híbrido RENAULT Austral 1.2 E-Tech Híbrido Techno 146kW,Gasolina,2023,11000,,200,Hybrid
64,32900,RENAULT Austral Híbrido RENAULT Austral 1.2 E-Tech Híbrido Techno 146kW,Gasolina,2023,1800,,131,Hybrid
65,12900,Renault Clio 1.5DCI 85CV,Diésel,2020,48000,Manual,85,Diésel
67,9900,Renault Kangoo 1.5DCI 75CV,Diésel,2019,98999,Manual,75,Diésel
68,9900,Renault Kangoo 1.5DCI 75CV,Diésel,2019,143000,Manual,75,Diésel
69,9900,Renault Kangoo 1.5DCI 75CV,Diésel,2019,138488,Manual,75,Diésel
70,14900,RENAULT Twingo Electric RENAULT Twingo Electric Zen R80 60kW Batería 20kW/h,Eléctrico,2021,40000,,81,Eléctrico
71,12900,Renault Clio Equilibre TCe 67 kW (91CV),Gasolina,2022,37325,Manual,90,Gasolina
73,35900,Renault Trafic Combi 2.0DCI Energy Blue Authentic 9 plazas,Diésel,2023,32900,Manual,110,Diésel
74,9900,Renault Kangoo 1.5DCI 90CV,Diésel,2019,142000,Manual,90,Diésel
76,12900,Renault Kangoo COMBI 5 1.5DCI 75CV,Diésel,2019,83000,Manual,75,Diésel
77,22900,Renault Captur zen fast track E-Tech híbrido 105 kW,Gasolina,2022,22457,Automático,145,Hybrid
78,17900,Renault Master L3 H2 2.3 130CV,Diésel,2019,199000,Manual,130,Diésel
79,10600,Renault CLIO DIESEL-REVISADO-GARANTIA-FINANCIAMOS,Diésel,2019,87789,Manual,75,Diésel
80,10600,Renault CLIO DIESEL-REVISADO-GARANTIA-FINANCIAMOS,Diésel,2019,87789,Manual,75,Diésel
81,14500,RENAULT Captur Captur Captur TCe Intens 67kW,Gasolina,2021,74000,,90,Gasolina
82,18600,RENAULT Clio Clio TCe Techno 103kW,Gasolina,2023,12392,,140,Gasolina
83,16500,RENAULT Clio Clio TCe Techno 67kW,Gasolina,2023,12500,,90,Gasolina
84,15500,RENAULT Clio Clio TCe Techno 67kW,Gasolina,2023,11018,,90,Gasolina
86,24900,RENAULT Arkana Arkana 1.3 TCe Techno EDC 103kW,Gasolina,2023,27700,,140,Gasolina
89,11990,RENAULT Zoe Zoe Zoe Life 40 R90 68kW,Eléctrico,2018,51000,,9000,Eléctrico
90,11990,RENAULT Zoe Zoe Zoe Life 40 R90 68kW,Eléctrico,2018,58166,,9000,Eléctrico
91,10900,RENAULT Mégane Mégane Mégane 1.2 TCe Energy Life 74kW,Gasolina,2018,47000,,101,Gasolina
92,28500,RENAULT Arkana Arkana 1.3 TCe R.S. Line EDC 117kW,Gasolina,2023,10000,,160,Gasolina
93,15900,RENAULT Zoe Zoe Life 40 R90 Flexi 68kW,Eléctrico,2019,7500,,92,Eléctrico
94,7500,Renault Megane 1.5 DCI 95CV 6V LIMITED 2020,Diésel,2020,230000,Manual,94,Diésel
95,16490,RENAULT ZOE INTENS 100 KW R135 BATERIA 50KWH FLEXI,Eléctrico,2020,22800,Automático,135,Eléctrico
96,18490,Renault Espace Initiale Paris Energy dCi 118kW TT EDC,Diésel,2017,136050,Automático,160,Diésel
98,18490,Renault Megane Zen E-TECH Híbrido Ench. 117kW(160CV),,2021,50182,Automático,160,Hybrid
99,13490,Renault Megane S.T. Zen TCe 103 kW (140CV) GPF,Gasolina,2019,118240,Manual,140,Gasolina
100,12799,Renault Kangoo 2021,Diésel,2021,86000,Manual,95,Diésel
101,7599,Renault Kangoo 2018,Diésel,2018,105000,Manual,110,Diésel
102,14890,Renault Megane 1.2 TCE ENERGY LIMITED 97KW 130 5P,Gasolina,2018,67815,Manual,130,Gasolina
103,10999,Renault Megane ✅Único propietario,Gasolina,2016,122000,Manual,132,Gasolina
104,8290,Renault Clio Business Energy dCi 66 kW (90 CV),Diésel,2015,139930,Manual,90,Diésel
105,8290,Renault Clio Business Energy dCi 66 kW (90 CV),Diésel,2015,139930,Manual,90,Diésel
107,15040,Renault Megane Business Blue dCi 70 kW (95 CV),Diésel,2021,75174,Manual,95,Diésel
108,15040,Renault Megane Business Blue dCi 70 kW (95 CV),Diésel,2021,75174,Manual,95,Diésel
109,30990,Renault Espace Espace Blue dCi Zen EDC 118kW,Diésel,2021,66264,Automático,160,Diésel
110,2390,Renault Megane 2004,Diésel,2004,129354,Manual,120,Diésel
111,1490,Renault Scenic 2005,Diésel,2005,304000,Manual,120,Diésel
112,5995,Renault Fluence 2011,Diésel,2011,213000,Manual,110,Diésel
113,8995,Renault Kangoo 2015,Diésel,2015,64500,Manual,75,Diésel
114,11995,Renault Megane 2017,Gasolina,2017,148000,Manual,132,Gasolina
115,13990,Renault Kangoo Furgon Profesional Blue dCi 70 kW (95 CV),Diésel,2020,27997,Manual,95,Diésel
116,13990,Renault Kangoo Furgon Profesional Blue dCi 70 kW (95 CV),Diésel,2020,27997,Manual,95,Diésel
117,10900,✅Renault Megane 2016 ✅Único propietario,Diésel,2016,158000,Manual,110,Diésel
118,10890,Renault Kangoo Furgon Profesional Blue dCi 59 kW (80 CV),Diésel,2020,95822,Manual,80,Diésel
119,10890,Renault Kangoo Furgon Profesional Blue dCi 59 kW (80 CV),Diésel,2020,95822,Manual,80,Diésel
120,11990,Renault Mégane Mégane 1.5dCi Energy Zen 81kW,Diésel,2018,149271,Manual,110,Diésel
121,38400,RENAULT Austral Híbrido Austral 1.2 E-Tech Híbrido Iconic 146kW,Eléctrico,2023,10000,,200,Hybrid
122,38400,RENAULT Austral Híbrido Austral 1.2 E-Tech Híbrido Iconic 146kW,Eléctrico,2023,4866,,200,Hybrid
123,32990,RENAULT Austral Híbrido Austral 1.2 E-Tech Híbrido Techno 146kW,Eléctrico,2023,1698,,200,Hybrid
124,19090,Renault Talisman Sport Tourer Limited Blue dCi 88 kW (120 CV),Diésel,2019,51499,Manual,120,Diésel
126,15800,Renault Trafic 2015,Diésel,2015,187000,Manual,115,Diésel
127,19090,Renault Talisman Sport Tourer Limited Blue dCi 88 kW (120 CV),Diésel,2019,51499,Manual,120,Diésel
128,13990,Renault Scenic 2017,Gasolina,2017,145000,Manual,132,Gasolina
129,12490,Renault Megane 2016,Diésel,2016,80000,Manual,110,Diésel
130,21499,Renault Trafic 2022,Diésel,2022,43000,Manual,120,Diésel
131,33490,Renault Austral Austral 1.2 E-Tech Híbrido Techno 146kW,Eléctrico,2024,5,Automático,200,Hybrid
132,10490,Renault ZOE Zen R240,Eléctrico,2016,88990,Automático,88,Eléctrico
133,17490,Renault Grand Scenic Zen Energy dCi,Diésel,2018,169000,Automático,160,Diésel
134,37900,Renault Trafic SpaceClass Largo Energy dCi,Diésel,2018,49535,Manual,145,Diésel
135,35700,RENAULT Koleos Diesel Koleos 2.0dCi Blue Initiale Paris X-Tronic 4x4 135kW,Diésel,2022,23560,,185,Diésel
136,13990,Renault Captur Zen Energy dCi 81 kW (110 CV),Diésel,2018,86000,Manual,110,Diésel
137,8990,Renault Clio Business Energy dCi 55kW 75CV,Diésel,2018,88513,Manual,75,Diésel
138,8900,Renault Koleos 2.0 dCi 150CV Expression - 2012,Diésel,2012,100000,Manual,150,Diésel
139,16690,Renault Talisman Zen Blue dCi 118kW 160CV EDC,Diésel,2019,108044,Automático,160,Diésel
140,27000,Furgoneta Camper (camperizada hace 1 año) Renault Master - Recién pintada 🚐 opción alquilar para probar,Diésel,2007,350000,Manual,120,Diésel
141,17450,Renault Megane Zen Blue dCi 85 kW 115CV,Diésel,2020,49024,Manual,115,Diésel
142,18700,Renault Talisman ST DCI Blue ZEN EDC 118 KW 160CV,Diésel,2019,72725,Automático,160,Diésel
143,13250,Renault Captur Limited TCe 66 kW (90 CV),Gasolina,2019,83866,Manual,90,Gasolina
144,12250,Renault Megane 2018 Limited Energy TCe (100CV),Gasolina,2018,82960,Manual,100,Gasolina
145,13990,Renault Megane Limited Energy TCe 74kW 100CV,Gasolina,2018,78477,Manual,101,Gasolina
146,19400,Renault Megane GT Energy TCe 151kW 205CV EDC,Gasolina,2017,63000,Automático,205,Gasolina
147,15990,Renault Talisman S.T. Intens En. dCi 118kW 160CV TT EDC,Diésel,2018,118340,Automático,160,Diésel
148,20990,Renault Trafic Furgon 27 L1H1 Energy BluedCi 88 kW,Diésel,2020,67134,Manual,120,Diésel
149,9890,Renault Captur 2014 Life Energy TCe 66 kW (90 CV),Gasolina,2014,140772,Manual,90,Gasolina
150,14990,Renault Kangoo Combi S.L Limited M1-AF Energy dCi,Diésel,2018,89000,Manual,90,Diésel
151,21990,Renault Trafic combi diesel TRAFIC COMBI 9 1.6DCI TT ENERGY 92KW,Diésel,2018,99000,Manual,125,Diésel
152,22930,Renault Kadjar 1.3 TCE 103KW TECHNO 140 5P,Gasolina,2022,6872,Manual,140,Gasolina
153,18300,Renault Express 1.5 DCI BLUE 95 ADVANCE 95 4P,Diésel,2022,21016,Manual,95,Diésel
154,18200,Renault Express 1.5 DCI BLUE 95 ADVANCE 95 4P,Diésel,2022,21800,Manual,95,Diésel
155,12500,Renault Captur 0.9 TCE ZEN 66KW 90 5P,Gasolina,2018,58790,Manual,90,Gasolina
156,16596,Renault Megane 1.2 TCE ENERGY LIFE 74KW 100CV 5P,Gasolina,2019,72610,Manual,100,Gasolina
157,11000,Renault Clio 0.9 TCE LIMITED 66KW - 18 90 5P,Gasolina,2019,62829,Manual,90,Gasolina
158,18200,Renault Scénic 1.6 DCI ENERGY ZEN 96KW 130 5P,Diésel,2017,37636,Manual,130,Diésel
159,11000,Renault Clio 0.9 TCE LIMITED 66KW - 18 90 5P,Gasolina,2019,65131,Manual,90,Gasolina
160,11000,Renault Clio 0.9 TCE LIMITED 66KW - 18 90 5P,Gasolina,2019,61433,Manual,90,Gasolina
161,11000,Renault Clio 0.9 TCE LIMITED 66KW - 18 90 5P,Gasolina,2019,63293,Manual,90,Gasolina
162,16000,Renault Kadjar 1.2 TCE ENERGY ZEN 96KW 130 5P,Gasolina,2016,46938,Manual,130,Gasolina
163,850,Renault Megane,Gasolina,2003,360000,Manual,110,Gasolina
164,45999,Citroen Jumper 2019,Diésel,2019,98452,Manual,130,Diésel
165,4400,Renault Kangoo 2006,Diésel,2006,144500,Manual,70,Diésel
166,25500,Porsche Panamera 3.6 300cv,Gasolina,2011,170000,Automático,300,Gasolina
167,1500,Renault Megane 2007,Diésel,2007,338234,Manual,105,Diésel
168,1300,Renault Megane 2000,Diésel,2000,186500,Manual,105,Diésel
170,5000,Renault Laguna 2013 impecable,Diésel,2013,270000,Manual,130,Diésel
171,7107,"Dacia Dokker Glp , pegatina Eco.",,2019,115000,Manual,102,Otros
172,10500,Renault Trafic 2016,Diésel,2016,250000,Manual,120,Diésel
173,14049,"Opel Movano 2018, SOLO 80.000 KMS, Pegatina C",Diésel,2018,80000,Manual,130,Diésel
174,1999,Renault Megane 2008,Diésel,2008,400000,Manual,130,Diésel
175,38000,Maxus e Deliver 3 50kWh AUTONOMIA 342KM,Eléctrico,2023,1000,Automático,122,Eléctrico
176,13750,Citroën Berlingo TALLA M 100CV,Diésel,2019,63800,Manual,100,Diésel
177,799,Renault Megane 2001,Diésel,2001,320000,Manual,105,Diésel
178,12999,Renault Clio 2021,Diésel,2021,56473,Manual,85,Diésel
179,10200,Renault Megane 2019,Diésel,2019,146000,Manual,115,Diésel
180,7690,Ford Fiesta 1.5TDCI 2018,Diésel,2018,172124,Manual,85,Diésel
181,999,Renault Campus 1997 (ITV recién pasado 24 Mayo),Gasolina,1997,137000,Manual,60,Gasolina
182,10700,Renault Talisman 2019,Diésel,2019,179500,Manual,120,Diésel
183,20590,Renault Trafic Furgón 27 L1H1 Energy BluedCi 88 kW,Diésel,2021,50972,Manual,120,Diésel
184,24990,Opel Vivaro 1.5CDTi 120cv M Std Select ISOTERMO Reforzado,Diésel,2019,89000,Manual,120,Diésel
185,28990,Opel Vivaro 1.5CDTi 120cv M Std Select FRIGORIFICO FRC -x -20ºC,Diésel,2019,73000,Manual,120,Diésel
187,14990,RENAULT GRAND SCENIC ZEN BLUE 1.5 DCI 120CV AUTO.,Diésel,2019,170000,Automático,150,Diésel
188,8500,Renault Trafic 2003,Diésel,2003,240000,Manual,100,Diésel
190,1450,Renault Laguna 2004,Diésel,2004,232000,Manual,120,Diésel
191,20800,Peugeot Expert Furgón Premium 1.5 BlueHDi 100 Standard,Diésel,2021,123566,Manual,100,Diésel
192,32975,Mercedes-Benz Vito 116CDI TOURER PRO LARGA 9 PLAZAS 163CV,Diésel,2021,109773,Automático,163,Diésel
193,18500,Nissan Qashqai dCi 150CV (110kW) 4WD ACENTA,Diésel,2019,178577,Manual,149,Diésel
194,28500,Mercedes-Benz Clase A A 180 d,Diésel,2021,70400,Automático,115,Diésel
195,10600,Mercedes-Benz Citan 1.5 CDI 109 Furgón 90CV,Diésel,2020,105793,Manual,90,Diésel
196,28500,Mercedes-Benz Clase A A 180 d,Diésel,2021,80639,Automático,115,Diésel
197,21500,Opel Vivaro Combi 1.6 CDTI 92KW S,Diésel,2018,113985,Manual,125,Diésel
198,20999,Peugeot 208 BlueHDi 73kW (100CV) Allure Pack,Diésel,2022,2789,Manual,102,Diésel
199,23900,Mercedes-Benz Clase A A 180 d,Diésel,2020,73150,Automático,115,Diésel
200,17900,Peugeot Partner TEPEE Allure1.6 BlueHDi 120 combi,Diésel,2019,87832,Manual,120,Diésel
201,19900,Peugeot Expert Furgón Pro 2.0 BlueHDi 120 S&S Standard,Diésel,2020,116706,Manual,120,Diésel
202,21500,Opel Vivaro 2.0 Diésel 88kW 120CV L Inc. Express,Diésel,2021,121936,Manual,120,Diésel
203,19900,Nissan Qashqai dCi 150CV (110kW) 4WD ACENTA,Diésel,2019,118554,Manual,149,Diésel
204,20500,Peugeot Expert Furgón Pro 2.0 BlueHDi 120 S&S Standard,Diésel,2020,90028,Manual,120,Diésel
205,2600,Renault Scenic 2006,Diésel,2006,267095,Manual,85,Diésel
206,45900,Mercedes-Benz Vito Tourer Select 114 2.0 CDI 136CV SWB L 4P 9 PLAZAS,Diésel,2022,35651,Automático,136,Diésel
207,18500,Nissan X-Trail 5 Plazas dCi 96 kW (130 CV) ACENTA,Diésel,2018,193631,Manual,130,Diésel
208,12900,Opel Crossland X 1.6T 73kW (99CV) Selective,Diésel,2017,145252,Manual,99,Diésel
209,42900,Mercedes-Benz Clase GLB 200 D 2.0 150CV,Diésel,2021,29757,Automático,150,Diésel
210,21900,Peugeot 308 5P GT Line BlueHDi 130 S&S EAT8,Diésel,2020,67326,Automático,130,Diésel
211,12900,Opel Corsa 1.5D DT 74kW (100CV) Edition,Diésel,2021,123667,Manual,102,Diésel
212,12990,Opel Crossland X 1.5D 75kW (102CV) Innovation S/S,Diésel,2018,130000,Manual,102,Diésel
213,16900,Opel Grandland X 1.6 CDTi Business,Diésel,2018,59041,Manual,119,Diésel
214,12809,Peugeot Rifter Active Pack BlueHDi 100 S&S E Vel. Man Standard,Diésel,2021,120162,Manual,100,Diésel
215,45900,Mercedes-Benz GLC GLC 200 d 4MATIC,Diésel,2022,40260,Automático,163,Diésel
216,6000,Renault Scenic 2014,Diésel,2014,275000,Manual,110,Diésel
217,20500,Renault Trafic 2021,Diésel,2021,99000,Manual,120,Diésel
220,11900,Opel Vivaro 1.6TDCI 121CV,Diésel,2017,260000,Manual,121,Diésel
221,23900,Mercedes-Benz Vito FRIGORIFICA FRAX MANTENIMIENTO POSITIVO ISOTERMO,Diésel,2019,216000,Manual,114,Diésel
222,10500,Renault Clio 2015,Otros,2015,100000,Manual,90,Otros
223,3990,Renault Megane 2010,Diésel,2010,290000,Manual,110,Diésel
224,1200,Renault Clio 2003,,2003,376000,Manual,80,
225,360,RENAULT TALISMAN 1.6 DCI ENERGY INTENS EDC 96 KW,Diésel,2017,88303,,131,Diésel
226,8500,Renault Trafic 2010,Diésel,2010,320000,Manual,115,Diésel
227,18990,Renault Clio Clio TCe Techno 103kW,Gasolina,2023,5965,Manual,140,Gasolina
232,7499,Renault Megane 2018,Diésel,2018,244000,Manual,90,Diésel
233,13090,Renault Clio Clio TCe GLP Business 74kW,Otros,2021,83851,Manual,100,Otros
234,5000,Renault Modus 2009,Gasolina,2009,110000,Manual,100,Gasolina
235,4990,Renault Trafic 2006,Diésel,2006,350000,Manual,90,Diésel
237,4990,Renault Twingo 2008,,2008,120000,Manual,75,
239,2000,Renault Scenic 2004,Diésel,2004,158669,Manual,100,Diésel
240,1800,Renault Megane 2006,Diésel,2006,260000,Manual,130,Diésel
241,1600,Renault Clio 2004,Gasolina,2004,23000,Manual,98,Gasolina
242,2490,Renault Clio 2001 ETIQUETA B,Gasolina,2001,78000,Manual,75,Gasolina
243,2500,Renault Kangoo 2008,Diésel,2008,386350,Manual,85,Diésel
244,3400,Renault Clio 2010,Diésel,2010,300000,Manual,85,Diésel
245,22890,Renault Captur Captur E-TECH Híbrido Enchufable Evolution 117kW,,2022,18597,Automático,160,Hybrid
246,18490,Renault Mégane Mégane 1.5dCi Blue Zen 85kW,Diésel,2022,78323,Manual,115,Diésel
247,1800,Renault Kangoo 2007,Diésel,2007,317000,Manual,60,Diésel
248,6990,Renault Kangoo 2019,Diésel,2019,93000,,75,Diésel
249,2600,Renault Clio 2005 Mantenimiento al día.,Gasolina,2005,109600,Manual,75,Gasolina
250,6900,Renault Kangoo 2018,Diésel,2018,87000,Manual,75,Diésel
251,6500,Renault Kangoo 2019,Diésel,2019,116000,Manual,75,Diésel
252,17990,Renault Scénic Grand Scénic 1.3 TCe GPF Limited 103kW,Gasolina,2019,37484,Manual,140,Gasolina
253,33990,Renault Austral Austral 1.2 E-Tech Híbrido Techno 146kW,Eléctrico,2024,160,Automático,200,Hybrid
254,10990,Renault Zoe Entry,Eléctrico,2017,76950,Automático,88,Eléctrico
255,3900,Cambio Renault Megane 2009,Gasolina,2009,262600,Manual,110,Gasolina
256,20995,Renault Trafic 2019,Diésel,2019,95000,Manual,125,Diésel
257,7500,Renault Kangoo 2018,Diésel,2018,165021,Manual,110,Diésel
258,25300,Renault Trafic 2020,Diésel,2020,93000,Manual,120,Diésel
259,5990,Renault Kangoo 2017,Diésel,2017,180000,Manual,90,Diésel
260,2600,Renault Clio 2005 IMPECABLE,Gasolina,2005,110000,Manual,75,Gasolina
261,3700,Renault Scenic 2004,Gasolina,2004,78500,Manual,115,Gasolina
262,1100,Renault Megane 2000,Diésel,2000,186500,Manual,105,Diésel
263,22718,Renault Megane Zen E-Tech Híbrido 118 kW (160 CV),Eléctrico,2021,33325,Automático,160,Hybrid
264,17090,Renault Espace Zen Energy dCi 118 kW (160 CV) TT EDC,Diésel,2017,148615,Automático,160,Diésel
265,21220,Renault Megane Intens DCI 115cv,Diésel,2023,10708,Manual,115,Diésel
266,13000,Renault Clio Sport 197cv,Gasolina,2007,160000,Manual,197,Gasolina
267,15600,Renault Clio Zen TCE 90cv,Gasolina,2021,53025,Manual,91,Gasolina
268,15600,Renault Clio Zen TCE 90cv,Gasolina,2021,53918,Manual,91,Gasolina
269,12700,Renault ZOE Limited 40 R110,Eléctrico,2018,84951,Automático,110,Eléctrico
270,20090,Renault Clio Techno TCE 140cv,Gasolina,2023,14419,Manual,140,Gasolina
271,18390,Renault Clio Techno TCE 90cv,Gasolina,2023,5810,Manual,91,Gasolina
272,18390,Renault Clio Techno TCE 90cv,Gasolina,2023,8781,Manual,91,Gasolina
273,19500,Renault Clio Techno TCE 90cv,Gasolina,2023,13078,Manual,90,Gasolina
274,18080,Renault Clio Techno TCE 90cv,Gasolina,2023,12981,Manual,90,Gasolina
275,11390,Renault Clio Zen Tce 90cv,Gasolina,2018,89804,Manual,90,Gasolina
276,2600,Renault Clio 2005 Acepto revisión mecánica.,Gasolina,2005,109500,Manual,75,Gasolina
277,23045,Renault Arkana RS Line TCe 103 kW (140 CV) EDC Microhíbrido,Gasolina,2021,78675,Automático,140,Hybrid
278,2600,Renault Clio 2005 Ideal conductor novel.,Gasolina,2005,110000,Manual,75,Gasolina
279,44700,Renault Espace Techno DCI 160cv EDC,Diésel,2023,15920,Automático,160,Diésel
280,2500,Renault Scenic 2007,Diésel,2007,280000,Manual,105,Diésel
281,15000,Renault Kangoo Combi Extrem M1-AF Blue dCi 85 kW (115 CV),Diésel,2020,111607,Manual,115,Diésel
282,20400,Renault Grand Scénic Grand Scénic 1.3 TCe GPF S&S Zen EDC 103kW,Gasolina,2019,92478,Automático,140,Gasolina
283,24400,Renault ZOE Limited 40 R110,,2020,19260,,110,Eléctrico
284,37800,Renault Espace Techno ETech Híbrido 200cv,Eléctrico,2023,3300,Automático,200,Hybrid
285,20980,Renault Captur Techno Tce 90cv,Gasolina,2023,11332,Manual,90,Gasolina
286,19580,Renault Captur Techno TCE 90cv,Gasolina,2022,36741,Manual,91,Gasolina
287,19580,Renault Captur Techno TCE 90CV,Gasolina,2022,36540,Manual,90,Gasolina
288,21250,Renault Arkana Zen Tce 140cv Microhíbrido EDC,Gasolina,2021,59783,Automático,140,Hybrid
289,17490,Renault Trafic TRAFIC 29 L2H1 ENERG 88 kW / 120 CV,Diésel,2021,88000,Manual,120,Diésel
292,8999,Renault Megane 2011 1.5 dCi Dynamique,Diésel,2011,96000,Manual,110,Diésel
293,15900,Renault Captur Life dCi 66kW (90CV),Diésel,2019,72531,Manual,89,Diésel
294,24660,Renault Arkana Techno TCe 140CV EDC mild hybrid,Gasolina,2022,36092,Automático,140,Hybrid
295,2500,Renault Megane 2008,Diésel,2008,234189,Manual,105,Diésel
296,26800,Renault Kadjar Techno Tce 140cv EDC,Gasolina,2022,24504,Automático,140,Gasolina
297,19525,Renault Zoe Life 40 R110 80kW,,2021,15946,Automático,108,Eléctrico
298,12490,Renault Clio Zen TCe GPF 74 kW (100CV),Gasolina,2019,68624,Manual,100,Gasolina
299,10490,Renault Kangoo 1.5 DCI PROFESIONAL 55 KW,Diésel,2019,99558,Manual,75,Diésel
300,27900,Renault ZOE Intens 50 R110 80kW,Eléctrico,2021,19732,Automático,110,Eléctrico
301,1800,Renault Kangoo 2007,Diésel,2007,310000,Manual,60,Diésel
302,22636,Renault Master Combi dCi 145 L2H2 3300 E 9 Plazas 107 kW (145 CV),Diésel,2019,129226,Manual,145,Diésel
